Zeitstempel,x-accelerometer,y-accelerometer,z-accelerometer,x-gyroskop,y-gyroskop,z-gyroskop,State
57132.0,0.02,0.01,0.53,0.0,0.0,0.0,1
57159.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
57187.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
57214.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
57241.0,0.01,0.01,0.53,-0.0,0.0,0.0,1
57269.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
57296.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
57324.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
57352.0,0.02,0.02,0.52,-0.0,-0.0,0.0,1
57379.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
57407.0,0.01,0.01,0.53,-0.0,0.0,-0.0,1
57434.0,0.01,0.01,0.53,-0.0,-0.0,0.0,1
57461.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
57489.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
57517.0,0.01,0.01,0.53,-0.0,0.0,0.0,1
57544.0,0.02,0.01,0.53,0.0,-0.0,0.0,1
57573.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
57601.0,0.01,0.01,0.52,-0.0,0.0,0.0,1
57628.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
57655.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
57682.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
57710.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
57738.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
57765.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
57792.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
57820.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
57847.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
57874.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
57902.0,0.02,0.01,0.52,-0.0,0.0,-0.0,1
57930.0,0.02,0.01,0.52,-0.0,0.0,0.0,1
57957.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
57985.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58012.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
58040.0,0.01,0.01,0.53,-0.0,0.0,0.0,1
58067.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58095.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
58123.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
58150.0,0.02,0.01,0.53,0.0,-0.0,0.0,1
58178.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58205.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
58232.0,0.01,0.01,0.53,-0.0,0.0,0.0,1
58260.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58288.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
58315.0,0.02,0.01,0.52,-0.0,0.0,-0.0,1
58343.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58371.0,0.02,0.02,0.53,-0.0,-0.0,0.0,1
58398.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
58426.0,0.01,0.01,0.53,-0.0,-0.0,0.0,1
58454.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
58481.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
58509.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
58535.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
58563.0,0.01,0.01,0.53,-0.0,-0.0,0.0,1
58591.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
58618.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58646.0,0.02,0.01,0.53,-0.0,0.0,-0.0,1
58673.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58700.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
58728.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58756.0,0.02,0.02,0.53,-0.0,0.0,0.0,1
58783.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
58811.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
58839.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58866.0,0.02,0.01,0.53,-0.0,0.0,0.0,1
58894.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
58921.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
58949.0,0.02,0.01,0.53,-0.0,-0.0,0.0,1
58977.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
59004.0,0.02,0.01,0.53,-0.0,-0.0,-0.0,1
